hrm_mean,hrm_min,hrm_max,hrm_med,hrm_var,hrm_kurtosis,hrm_skew,hrm_p10,hrm_p90,accel_mean,accel_min,accel_max,accel_med,accel_var,accel_kurtosis,accel_skew,accel_p10,accel_p90,label
63.167,62.0,64.0,64.0,0.939,-1.849,-0.338,62.0,64.0,9.812,9.786,9.839,9.812,0.0,-0.103,-0.324,9.795,9.826,awake
62.267,62.0,63.0,62.0,0.196,-0.886,1.055,62.0,63.0,9.812,9.767,9.836,9.814,0.0,3.332,-1.448,9.799,9.825,awake
62.333,62.0,63.0,62.0,0.222,-1.5,0.707,62.0,63.0,9.808,9.778,9.834,9.807,0.0,-0.796,0.082,9.792,9.828,awake
63.0,63.0,63.0,63.0,0.0,-3.0,0.0,63.0,63.0,9.72,8.152,10.64,9.735,0.158,6.487,-1.599,9.462,10.032,awake
63.567,62.0,64.0,64.0,0.379,0.169,-1.112,63.0,64.0,9.702,9.589,9.793,9.704,0.001,3.444,-0.668,9.675,9.732,awake
62.967,62.0,64.0,63.0,0.099,6.839,-0.753,63.0,63.0,9.695,9.414,9.863,9.698,0.004,11.487,-2.228,9.673,9.722,awake
63.733,63.0,64.0,64.0,0.196,-0.886,-1.055,63.0,64.0,9.684,9.442,9.808,9.683,0.004,6.133,-1.689,9.658,9.73,awake
63.233,62.0,64.0,63.0,0.446,-0.8,-0.307,62.0,64.0,9.69,9.652,9.724,9.69,0.0,-0.199,-0.308,9.662,9.706,awake
62.067,62.0,63.0,62.0,0.062,10.071,3.474,62.0,62.0,9.81,9.645,11.331,9.699,0.101,14.835,3.803,9.671,9.988,awake
62.267,62.0,63.0,62.0,0.196,-0.886,1.055,62.0,63.0,9.694,9.597,9.836,9.688,0.002,3.791,1.373,9.658,9.719,awake
63.067,62.0,65.0,63.0,0.996,-0.933,0.47,62.0,64.1,9.737,9.658,10.05,9.705,0.007,4.961,2.115,9.67,9.835,awake
62.267,62.0,63.0,62.0,0.196,-0.886,1.055,62.0,63.0,10.238,8.604,16.756,9.889,1.768,16.416,3.933,9.795,11.11,awake
64.333,63.0,65.0,65.0,0.756,-1.313,-0.699,63.0,65.0,9.882,9.497,10.534,9.87,0.021,12.938,2.492,9.825,9.928,awake
65.333,65.0,66.0,65.0,0.222,-1.5,0.707,65.0,66.0,9.797,9.704,9.858,9.795,0.001,0.886,-0.475,9.758,9.833,awake
65.567,65.0,66.0,66.0,0.246,-1.928,-0.269,65.0,66.0,9.626,6.81,9.852,9.804,0.444,11.052,-3.572,9.736,9.827,awake
